species	common_name	body_mass_g	body_mass_notes	max_lifespan_yr	max_lifespan_notes	gestation_days	gestation_notes	litter_size	litter_size_notes	age_maturity_days	age_maturity_notes	metabolic_rate_W	metabolic_rate_notes	brain_mass_g	brain_mass_notes	sleep_hr_day	sleep_notes
Acinonyx_jubatus	cheetah	38446.1	AnAge build 14 (genomics.senescence.info); exact match: Acinonyx jubatus	20.5	AnAge build 14 (genomics.senescence.info); exact match: Acinonyx jubatus	88.0	AnAge build 14 (genomics.senescence.info); exact match: Acinonyx jubatus	3.0	AnAge build 14 (genomics.senescence.info); exact match: Acinonyx jubatus	456.0	AnAge build 14 (genomics.senescence.info); exact match: Acinonyx jubatus	61.77	AnAge build 14 (genomics.senescence.info); exact match: Acinonyx jubatus	113.0489	González-Suárez et al. 2021 [Lemaitre_et_al_2009_J_Evol_Biol; Tsubio_et_al_2018_NEE]	12.1	Savage & West 2007 PNAS (msleep, genus Acinonyx)
Acomys_cahirinus	Egyptian spiny mouse	42.0	AnAge build 14 (genomics.senescence.info); exact match: Acomys cahirinus	5.9	AnAge build 14 (genomics.senescence.info); exact match: Acomys cahirinus	38.0	AnAge build 14 (genomics.senescence.info); exact match: Acomys cahirinus	3.0	AnAge build 14 (genomics.senescence.info); exact match: Acomys cahirinus	58.0	AnAge build 14 (genomics.senescence.info); exact match: Acomys cahirinus	0.258	AnAge build 14 (genomics.senescence.info); exact match: Acomys cahirinus	0.705	González-Suárez et al. 2021 [Boddy_et_al_2012_J_Evol_Biol; Isler_&_vanSchaik_2009_Bio_Lett]		
Acomys_dimidiatus	Eastern spiny mouse	48.7	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	5.6	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	38.0	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	2.5	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	58.0	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	0.249	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	0.65	González-Suárez et al. 2021 (genus Acomys median)		
Acomys_kempi	Kemps spiny mouse	48.7	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	5.6	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	38.0	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	2.5	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	58.0	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	0.249	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	0.65	González-Suárez et al. 2021 (genus Acomys median)		
Acomys_minous	Crete spiny mouse	62.5	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Acomys minous			38.0	AnAge build 14 (genomics.senescence.info); exact match: Acomys minous			58.0	AnAge build 14 (genomics.senescence.info); exact match: Acomys minous			0.65	González-Suárez et al. 2021 (genus Acomys median)		
Acomys_percivali	Percivals spiny mouse	48.7	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	5.6	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	38.0	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	2.5	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	58.0	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	0.249	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	0.65	González-Suárez et al. 2021 (genus Acomys median)		
Acomys_russatus	golden spiny mouse	55.4	AnAge build 14 (genomics.senescence.info); exact match: Acomys russatus			34.0	AnAge build 14 (genomics.senescence.info); exact match: Acomys russatus	2.5	AnAge build 14 (genomics.senescence.info); exact match: Acomys russatus	91.0	AnAge build 14 (genomics.senescence.info); exact match: Acomys russatus	0.24	AnAge build 14 (genomics.senescence.info); exact match: Acomys russatus	0.65	González-Suárez et al. 2021 (genus Acomys median)		
Addax_nasomaculatus	Addax	96077.36	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Addax nasomaculatus	28.0	AnAge build 14 (genomics.senescence.info); exact match: Addax nasomaculatus	282.0	AnAge build 14 (genomics.senescence.info); exact match: Addax nasomaculatus	1.0	AnAge build 14 (genomics.senescence.info); exact match: Addax nasomaculatus	1065.0	AnAge build 14 (genomics.senescence.info); exact match: Addax nasomaculatus			206.4	González-Suárez et al. 2021 [Isler_&_vanSchaik_2009_Bio_Lett]		
Aepyceros_melampus	impala	52591.69	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Aepyceros melampus	25.6	AnAge build 14 (genomics.senescence.info); exact match: Aepyceros melampus	198.0	AnAge build 14 (genomics.senescence.info); exact match: Aepyceros melampus	1.0	AnAge build 14 (genomics.senescence.info); exact match: Aepyceros melampus	456.0	AnAge build 14 (genomics.senescence.info); exact match: Aepyceros melampus			175.0	González-Suárez et al. 2021 [Isler_&_vanSchaik_2009_Bio_Lett; Lemaitre_et_al_2009_J_Evol_Biol; Stankowich_&_Romero_2017_ProcB]		
Ailuropoda_melanoleuca	giant panda	117999.99	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Ailuropoda melanoleuca	36.8	AnAge build 14 (genomics.senescence.info); exact match: Ailuropoda melanoleuca	48.0	AnAge build 14 (genomics.senescence.info); exact match: Ailuropoda melanoleuca	1.5	AnAge build 14 (genomics.senescence.info); exact match: Ailuropoda melanoleuca	2192.0	AnAge build 14 (genomics.senescence.info); exact match: Ailuropoda melanoleuca			239.3318	González-Suárez et al. 2021 [Isler_&_vanSchaik_2009_Bio_Lett; Tsubio_et_al_2018_NEE]		
Ailurus_fulgens	lesser panda	5740.0	AnAge build 14 (genomics.senescence.info); exact match: Ailurus fulgens	19.0	AnAge build 14 (genomics.senescence.info); exact match: Ailurus fulgens	116.0	AnAge build 14 (genomics.senescence.info); exact match: Ailurus fulgens	2.0	AnAge build 14 (genomics.senescence.info); exact match: Ailurus fulgens	550.0	AnAge build 14 (genomics.senescence.info); exact match: Ailurus fulgens	4.898	AnAge build 14 (genomics.senescence.info); exact match: Ailurus fulgens	42.3206	González-Suárez et al. 2021 [Boddy_et_al_2012_J_Evol_Biol; Isler_&_vanSchaik_2009_Bio_Lett; Tsubio_et_al_2018_NEE]		
Alces_alces	Eurasian elk	325000.0	AnAge build 14 (genomics.senescence.info); exact match: Alces alces			243.0	AnAge build 14 (genomics.senescence.info); exact match: Alces alces	1.3	AnAge build 14 (genomics.senescence.info); exact match: Alces alces	751.0	AnAge build 14 (genomics.senescence.info); exact match: Alces alces	286.847	AnAge build 14 (genomics.senescence.info); exact match: Alces alces	423.146	González-Suárez et al. 2021 [Boddy_et_al_2012_J_Evol_Biol; Isler_&_vanSchaik_2009_Bio_Lett; Lemaitre_et_al_2009_J_Evol_Biol; Tsubio_et_al_2018_NEE]		
Alexandromys_fortis	Reed vole																
Alexandromys_oeconomus	Root vole																
Allactaga_bullata	Gobi jerboa			4.85	AnAge build 14; genus Allactaga (n=4) median used (no species-level data)			4.25	AnAge build 14; genus Allactaga (n=4) median used (no species-level data)	260.0	AnAge build 14; genus Allactaga (n=4) median used (no species-level data)			3.5	González-Suárez et al. 2021 (genus Allactaga median)		
Allenopithecus_nigroviridis	Allens swamp monkey	4749.96	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Allenopithecus nigroviridis	27.0	AnAge build 14 (genomics.senescence.info); exact match: Allenopithecus nigroviridis			1.0	AnAge build 14 (genomics.senescence.info); exact match: Allenopithecus nigroviridis								
Alouatta_caraya	Black howler monkey	5576.96	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Alouatta caraya	32.4	AnAge build 14 (genomics.senescence.info); exact match: Alouatta caraya	187.0	AnAge build 14 (genomics.senescence.info); exact match: Alouatta caraya	1.0	AnAge build 14 (genomics.senescence.info); exact match: Alouatta caraya	1167.0	AnAge build 14 (genomics.senescence.info); exact match: Alouatta caraya			54.0937	González-Suárez et al. 2021 [Boddy_et_al_2012_J_Evol_Biol; DeCasien_et_al_2017_Nat_Ecol_Evol; Isler_&_vanSchaik_2009_Bio_Lett; Tsubio_et_al_2018_NEE]		
