tip,order,superorder,suborder,family,display_clade
Nycticebus_coucang,Primates,Euarchontoglires,Strepsirrhini,Lorisidae,Primates
Otolemur_garnettii,Primates,Euarchontoglires,Strepsirrhini,Galagidae,Primates
Daubentonia_madagascariensis,Primates,Euarchontoglires,Strepsirrhini,Daubentoniidae,Primates
Propithecus_coquereli,Primates,Euarchontoglires,Strepsirrhini,Indriidae,Primates
Indri_indri,Primates,Euarchontoglires,Strepsirrhini,Indriidae,Primates
Cheirogaleus_medius,Primates,Euarchontoglires,Strepsirrhini,Cheirogaleidae,Primates
Microcebus_murinus,Primates,Euarchontoglires,Strepsirrhini,Cheirogaleidae,Primates
Mirza_coquereli,Primates,Euarchontoglires,Strepsirrhini,Cheirogaleidae,Primates
Lemur_catta,Primates,Euarchontoglires,Strepsirrhini,Lemuridae,Primates
Eulemur_fulvus,Primates,Euarchontoglires,Strepsirrhini,Lemuridae,Primates
Eulemur_flavifrons,Primates,Euarchontoglires,Strepsirrhini,Lemuridae,Primates
Pithecia_pithecia,Primates,Euarchontoglires,Haplorrhini,Pitheciidae,Primates
Callicebus_donacophilus,Primates,Euarchontoglires,Haplorrhini,Pitheciidae,Primates
Saguinus_imperator,Primates,Euarchontoglires,Haplorrhini,Cebidae,Primates
Callithrix_jacchus,Primates,Euarchontoglires,Haplorrhini,Cebidae,Primates
Aotus_nancymaae,Primates,Euarchontoglires,Haplorrhini,Aotidae,Primates
Saimiri_boliviensis,Primates,Euarchontoglires,Haplorrhini,Cebidae,Primates
Cebus_albifrons,Primates,Euarchontoglires,Haplorrhini,Cebidae,Primates
Cebus_capucinus,Primates,Euarchontoglires,Haplorrhini,Cebidae,Primates
Alouatta_palliata,Primates,Euarchontoglires,Haplorrhini,Atelidae,Primates
Ateles_geoffroyi,Primates,Euarchontoglires,Haplorrhini,Atelidae,Primates
Mandrillus_leucophaeus,Primates,Euarchontoglires,Haplorrhini,Cercopithecidae,Primates
Cercocebus_atys,Primates,Euarchontoglires,Haplorrhini,Cercopithecidae,Primates
Papio_anubis,Primates,Euarchontoglires,Haplorrhini,Cercopithecidae,Primates
Macaca_mulatta,Primates,Euarchontoglires,Haplorrhini,Cercopithecidae,Primates
Macaca_fascicularis,Primates,Euarchontoglires,Haplorrhini,Cercopithecidae,Primates
Macaca_nemestrina,Primates,Euarchontoglires,Haplorrhini,Cercopithecidae,Primates
Erythrocebus_patas,Primates,Euarchontoglires,Haplorrhini,Cercopithecidae,Primates
