"Directory.Name"	"Species"	"Common.name"	"Other.species.names"	"Species.Taxonomy.ID"	"Taxonomic.Lineage"	"Assembly.name"	"NCBI.accession"	"Source.of.assembly"	"NCBI.assembly.name"	"NCBI.assembly.status"	"Assembly.submission.date"	"Assembly.submitter.organization"	"contig.N50..bp."	"scaffold.N50..bp."	"Zoonomia_name"
"1"	"Lepus_americanus__snowshoe_hare__HLlepAme1__GCA_004026855.1"	"Lepus_americanus"	"snowshoe hare"	""	48086	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Lagomorpha; Leporidae; Lepus"	"HLlepAme1"	"GCA_004026855.1"	"NCBI"	"LepAme_v1_BIUU"	"Scaffold"	"2019-01-16"	"Broad Institute"	15057	16725	"lepus_americanus"
"2"	"Oryctolagus_cuniculus__Rabbit__HLoryCuni5__GCF_964237555.1"	"Oryctolagus_cuniculus"	"Rabbit"	"domestic_rabbit,Lepus_cuniculus,New_Zealand_rabbit,Japanese_white_rabbit,European_rabbit,rabbits"	9986	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Lagomorpha; Leporidae; Oryctolagus"	"HLoryCuni5"	"GCF_964237555.1"	"NCBI"	"mOryCun1.1"	"Chromosome"	"2024-08-31"	"WELLCOME SANGER INSTITUTE"	2030165	144279705	"oryctolagus_cuniculus"
"3"	"Oryctolagus_cuniculus_cuniculus__rabbit__HLoryCunCun4__GCA_013371645.1"	"Oryctolagus_cuniculus_cuniculus"	"rabbit"	"European_rabbit,rabbits,domestic_rabbit,Lepus_cuniculus,Japanese_white_rabbit,New_Zealand_rabbit"	568996	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Lagomorpha; Leporidae; Oryctolagus; Oryctolagus cuniculus"	"HLoryCunCun4"	"GCA_013371645.1"	"NCBI"	"OryCun3.0"	"Chromosome"	"2020-06-22"	"Uppsala University"	1879078	140390130	"oryctolagus_cuniculus_cuniculus"
"4"	"Ochotona_princeps__American_pika__HLochPri4__GCF_030435755.1"	"Ochotona_princeps"	"American pika"	"Arvicola_princeps,southern_American_pika"	9978	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Lagomorpha; Ochotonidae; Ochotona"	"HLochPri4"	"GCF_030435755.1"	"NCBI"	"mOchPri1.hap1"	"Chromosome"	"2023-07-13"	"Vertebrate Genomes Project"	12191025	73962893	"ochotona_princeps"
"5"	"Castor_canadensis__American_beaver__HLcasCan3"	"Castor_canadensis"	"American beaver"	""	51338	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Castorimorpha; Castoridae; Castor"	"HLcasCan3"	"DNA Zoo Consortium"	"DNA Zoo Consortium"	""	""	"2020-07-09"	""	266367	136673807	"castor_canadensis"
"6"	"Castor_canadensis__American_beaver__HLcasCana4A__GCA_047511655.2"	"Castor_canadensis"	"American beaver"	""	51338	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Castorimorpha; Castoridae; Castor"	"HLcasCana4A"	"GCA_047511655.2"	"NCBI"	"mCasCan1.hap1v2"	"Chromosome"	"2025-02-10"	"Vertebrate Genomes Project"	59379167	158968201	"castor_canadensis"
"7"	"Dipodomys_stephensi__Stephenss_kangaroo_rat__HLdipSte1__GCA_004024685.1"	"Dipodomys_stephensi"	"Stephenss kangaroo rat"	""	323379	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Castorimorpha; Heteromyidae; Dipodomyinae; Dipodomys"	"HLdipSte1"	"GCA_004024685.1"	"NCBI"	"DipSte_v1_BIUU"	"Scaffold"	"2019-01-15"	"Broad Institute"	30710	36811	"dipodomys_stephensi"
"8"	"Dipodomys_ordii__Ords_kangaroo_rat__dipOrd2__GCF_000151885.1"	"Dipodomys_ordii"	"Ords kangaroo rat"	""	10020	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Castorimorpha; Heteromyidae; Dipodomyinae; Dipodomys"	"dipOrd2"	"GCF_000151885.1"	"NCBI"	"Dord_2.0"	"Scaffold"	"2014-12-12"	"Baylor College of Medicine"	48087	11931245	"dipodomys_ordii"
"9"	"Perognathus_longimembris_pacificus__Pacific_pocket_mouse__HLperLonPac2__GCF_023159225.1"	"Perognathus_longimembris_pacificus"	"Pacific pocket mouse"	"Otognosis_longimembris,little_pocket_mouse"	214514	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Castorimorpha; Heteromyidae; Perognathinae; Perognathus; Perognathus longimembris"	"HLperLonPac2"	"GCF_023159225.1"	"NCBI"	"ASM2315922v1"	"Chromosome"	"2022-04-27"	"San Diego Zoo Wildlife Alliance"	7389774	72679016	"perognathus_longimembris_pacificus"
"10"	"Fukomys_damarensis__Damara_mole-rat__HLfukDam2__GCA_012274545.1"	"Fukomys_damarensis"	"Damara mole-rat"	"Damara_mole_rat,Coetomys_damarensis,Cryptomys_damarensis"	885580	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Bathyergidae; Fukomys"	"HLfukDam2"	"GCA_012274545.1"	"NCBI"	"DMR_v1.0_HiC"	"Scaffold"	"2020-04-13"	"DNA Zoo Consortium"	44756	62586000	"fukomys_damarensis"
